episode,total_score,max_tile,num_moves,valid_moves,invalid_moves,wall_clock_seconds,training_steps
243,1376,128,180,180,0,21.881073,34583
244,1148,128,146,146,0,21.986671,34729
245,656,64,98,98,0,22.056903,34827
246,2204,256,264,264,0,22.251964,35091
247,2240,256,256,256,0,22.454132,35347
248,2072,128,240,240,0,22.640258,35587
249,804,64,133,133,0,22.744112,35720
250,1500,128,198,198,0,22.882205,35918
251,2100,256,240,240,0,23.049507,36158
252,2244,256,241,241,0,23.214215,36399
253,1288,128,166,166,0,23.33297,36565
254,624,64,111,111,0,23.410582,36676
255,420,32,85,85,0,23.471495,36761
256,676,64,117,117,0,23.554497,36878
257,712,64,119,119,0,23.638703,36997
258,1240,128,147,147,0,23.74166,37144
259,664,64,111,111,0,23.821009,37255
260,1504,128,214,214,0,23.972141,37469
261,1204,128,188,188,0,24.106229,37657
262,992,64,160,160,0,24.21954,37817
263,696,64,120,120,0,24.301824,37937
264,572,64,89,89,0,24.366091,38026
265,1240,128,186,186,0,24.494397,38212
266,1372,128,207,207,0,24.644953,38419
267,1100,128,144,144,0,24.749775,38563
268,1416,128,181,181,0,24.879361,38744
269,416,32,83,83,0,24.939707,38827
270,1116,128,139,139,0,25.037001,38966
271,704,64,132,132,0,25.131405,39098
272,1452,128,204,204,0,25.274613,39302
273,1124,128,158,158,0,25.38872,39460
274,708,64,126,126,0,25.480303,39586
275,608,64,115,115,0,25.563177,39701
276,776,64,126,126,0,25.656542,39827
277,1364,128,187,187,0,25.789629,40014
278,2216,256,220,220,0,25.945734,40234
279,1004,128,138,138,0,26.047294,40372
280,1552,128,235,235,0,26.216215,40607
281,268,16,80,80,0,26.274527,40687
282,444,64,94,94,0,26.343819,40781
283,668,64,121,121,0,26.430981,40902
284,524,64,98,98,0,26.49959,41000
285,808,64,123,123,0,26.587309,41123
286,496,64,104,104,0,26.662491,41227
287,288,32,70,70,0,26.712366,41297
288,612,64,107,107,0,26.790431,41404
289,900,64,154,154,0,26.902606,41558
290,1028,128,134,134,0,26.997338,41692
291,1352,128,180,180,0,27.126398,41872
292,1132,128,171,171,0,27.250292,42043
293,1064,128,144,144,0,27.352959,42187
294,2288,256,265,265,0,27.54327,42452
295,1184,128,166,166,0,27.666742,42618
296,712,64,145,145,0,27.772251,42763
297,308,32,70,70,0,27.823274,42833
298,560,64,97,97,0,27.894948,42930
299,1444,128,193,193,0,28.030122,43123
300,620,64,103,103,0,28.105613,43226
301,820,64,113,113,0,28.190309,43339
302,684,64,107,107,0,28.268739,43446
303,1004,64,164,164,0,28.390707,43610
304,1668,128,228,228,0,28.561161,43838
305,864,64,133,133,0,28.656745,43971
306,360,32,71,71,0,28.711459,44042
307,724,64,145,145,0,28.815999,44187
308,644,64,125,125,0,28.907668,44312
309,1060,128,143,143,0,29.015589,44455
310,572,64,105,105,0,29.089218,44560
311,964,64,177,177,0,29.219545,44737
312,1292,128,225,225,0,29.383227,44962
313,820,64,144,144,0,29.485541,45106
314,708,64,113,113,0,29.566162,45219
315,652,64,123,123,0,29.656665,45342
316,1848,128,262,262,0,29.843057,45604
317,672,64,126,126,0,29.934798,45730
318,1024,128,142,142,0,30.037636,45872
319,1524,128,221,221,0,30.201725,46093
320,1640,128,266,266,0,30.397451,46359
321,464,64,86,86,0,30.47174,46445
322,1060,128,158,158,0,30.583993,46603
323,1428,128,185,185,0,30.717323,46788
324,1272,128,208,208,0,30.872905,46996
325,612,64,123,123,0,30.962147,47119
326,500,32,101,101,0,31.033698,47220
327,340,32,82,82,0,31.093441,47302
328,680,64,134,134,0,31.193866,47436
329,548,64,98,98,0,31.265038,47534
330,808,64,153,153,0,31.378133,47687
331,656,64,133,133,0,31.475875,47820
332,1312,128,165,165,0,31.597518,47985
333,448,64,79,79,0,31.655797,48064
334,308,32,75,75,0,31.712551,48139
335,468,64,90,90,0,31.779704,48229
336,528,32,97,97,0,31.851796,48326
337,756,64,126,126,0,31.941254,48452
338,2056,256,234,234,0,32.113389,48686
339,1296,128,215,215,0,32.269792,48901
340,936,64,177,177,0,32.398585,49078
341,412,32,94,94,0,32.468098,49172
342,3084,256,363,363,0,32.73522,49535
343,1780,128,259,259,0,32.928998,49794
344,1156,128,177,177,0,33.060734,49971
345,724,64,140,140,0,33.567297,50111
346,2016,128,275,275,0,33.776974,50386
347,1144,128,179,179,0,33.921226,50565
348,2480,256,279,279,0,34.134751,50844
349,1452,128,271,271,0,34.349393,51115
350,760,64,154,154,0,34.471449,51269
351,1260,128,223,223,0,34.638299,51492
352,972,128,147,147,0,34.752975,51639
353,612,64,95,95,0,34.827646,51734
354,796,64,143,143,0,34.938516,51877
355,1140,128,167,167,0,35.061368,52044
356,904,64,166,166,0,35.188653,52210
357,712,64,159,159,0,35.309603,52369
358,740,64,164,164,0,35.433761,52533
359,416,32,87,87,0,35.499419,52620
360,756,64,161,161,0,35.624263,52781
361,580,64,117,117,0,35.712889,52898
362,1560,128,251,251,0,35.9076,53149
363,1672,128,266,266,0,36.108739,53415
364,1100,128,165,165,0,36.234513,53580
365,1084,128,168,168,0,36.359458,53748
366,628,64,110,110,0,36.442955,53858
367,624,64,123,123,0,36.536725,53981
368,2372,256,317,317,0,36.785465,54298
369,1332,128,170,170,0,36.925473,54468
370,888,64,151,151,0,37.049873,54619
371,380,32,93,93,0,37.124746,54712
372,676,64,131,131,0,37.232299,54843
373,608,64,121,121,0,37.330583,54964
374,1564,128,232,232,0,37.524813,55196
375,1412,128,222,222,0,37.707447,55418
376,1480,128,261,261,0,37.926058,55679
377,448,32,77,77,0,37.989343,55756
378,752,64,162,162,0,38.124221,55918
379,388,32,80,80,0,38.189252,55998
380,580,64,111,111,0,38.281491,56109
381,2676,256,400,400,0,38.611356,56509
382,1244,128,208,208,0,38.791983,56717
383,1216,128,210,210,0,38.965806,56927
384,244,32,55,55,0,39.009196,56982
385,1404,128,198,198,0,39.17603,57180
386,1172,128,205,205,0,39.343102,57385
